,name,moves_san
0,Alekhine Defense:Balogh Variation::,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Bc4 
1,Alekhine Defense:Brooklyn Variation::,1.e4 Nf6 2.e5 Ng8
2,Alekhine Defense:Exchange Variation::,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.c4 Nb6 5.exd6 
3,Alekhine Defense:Four Pawns Attack::,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.c4 Nb6 5.f4 
4,Alekhine Defense:Four Pawns Attack:Fianchetto Variation:,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.c4 Nb6 5.f4 g6
5,Alekhine Defense:Four Pawns Attack:Main Line:,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.c4 Nb6 5.f4 dxe5 6.fxe5 Nc6 7.Be3 
6,Alekhine Defense:Four Pawns Attack:Trifunovic Variation:,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.c4 Nb6 5.f4 Bf5
7,Alekhine Defense:General::,1.e4 Nf6
8,Alekhine Defense:Hunt Variation:Lasker Simul Gambit:,1.e4 Nf6 2.e5 Nd5 3.c4 Nb6 4.c5 Nd5 5.Nc3 e6 6.Bc4 
9,Alekhine Defense:Maroczy Variation::,1.e4 Nf6 2.d3 
10,Alekhine Defense:Modern Variation::,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 
11,Alekhine Defense:Modern Variation:Alburt Variation:,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 g6
12,Alekhine Defense:Modern Variation:Alekhine Gambit:,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 Bg4 5.c4 Nb6 6.Be2 
13,Alekhine Defense:Modern Variation:Keres Variation:,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 g6 5.Bc4 Nb6 6.Bb3 Bg7 7.a4 
14,Alekhine Defense:Modern Variation:Larsen Variation:,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 dxe5
15,Alekhine Defense:Modern Variation:Larsen Variation:Miles Line,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 dxe5 5.Nxe5 c6
16,Alekhine Defense:Modern Variation:Larsen-Haakert Variation:,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 Nc6
17,Alekhine Defense:Modern Variation:Main Line:,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 Bg4
18,Alekhine Defense:Modern Variation:Panov Variation:,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 Bg4 5.h3 
19,Alekhine Defense:Modern Variation:Schmid Variation:,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 Nb6
20,Alekhine Defense:Normal Variation::,1.e4 Nf6 2.e5 Nd5 3.d4 d6
21,Alekhine Defense:Normal Variation::,1.e4 Nf6 2.e5 Nd5
22,Alekhine Defense:Saemisch Attack::,1.e4 Nf6 2.e5 Nd5 3.Nc3 
23,Alekhine Defense:Scandinavian Variation::,1.e4 Nf6 2.Nc3 d5
24,Alekhine Defense:Spielmann Gambit::,1.e4 Nf6 2.Nc3 d5 3.e5 Nfd7 4.e6 
25,Alekhine Defense:Steiner Variation::,1.e4 Nf6 2.e5 Nd5 3.c4 Nb6 4.b3 
26,Alekhine Defense:Two Pawn Attack::,1.e4 Nf6 2.e5 Nd5 3.c4 
27,Alekhine Defense:Two Pawn Attack:Lasker Variation:,1.e4 Nf6 2.e5 Nd5 3.c4 Nb6 4.c5 
28,Amar Opening:General::,1.Nh3 
29,Anderssen Opening:General::,1.a3 
30,Benko Gambit:Accepted:Central Storming Variation:,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.bxa6 g6 6.Nc3 Bxa6 7.f4 
31,Benko Gambit:Accepted:Dlugy Variation:,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.f3 
32,Benko Gambit:Accepted:Fianchetto Variation:,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.bxa6 Bxa6 6.Nc3 g6 7.Nf3 d6 8.g3 Bg7 9.Bg2 
33,Benko Gambit:Accepted:Fully Accepted Variation:,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.bxa6 
34,Benko Gambit:Accepted:King Walk Variation:,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.bxa6 Bxa6 6.Nc3 d6 7.e4 Bxf1 8.Kxf1 g6 9.g3 Bg7 10.Kg2 O-O 11.Nf3 
35,Benko Gambit:Accepted:Modern Variation:,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.e3 
36,Benko Gambit:Accepted:Pawn Return Variation:,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.b6 
37,"Benko Gambit:Accepted:Yugoslav with 7...Bxf1, Nge2:",1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.bxa6 Bxa6 6.Nc3 d6 7.e4 Bxf1 8.Kxf1 g6 9.Nge2 
38,Benko Gambit:Accepted:Yugoslav without 7...Bxf1:,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.bxa6 Bxa6 6.Nc3 d6 7.e4 
39,Benko Gambit:Declined:Bishop Attack:,1.d4 Nf6 2.c4 c5 3.d5 b5 4.Bg5 
40,Benko Gambit:Declined:Main Line:,1.d4 Nf6 2.c4 c5 3.d5 b5 4.Nf3 
41,Benko Gambit:Declined:Pseudo-Saemisch:,1.d4 Nf6 2.c4 c5 3.d5 b5 4.f3 
42,Benko Gambit:Declined:Quiet Line:,1.d4 Nf6 2.c4 c5 3.d5 b5 4.Nd2 
43,Benko Gambit:Declined:Sosonko Variation:,1.d4 Nf6 2.c4 c5 3.d5 b5 4.a4 
44,Benko Gambit:General::,1.d4 Nf6 2.c4 c5 3.d5 b5
45,Benko Gambit:Zaitsev System::,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.Nc3 
46,Benko Gambit:Zaitsev Variation:Nescafe Frappe Attack:,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.Nc3 axb5 6.e4 b4 7.Nb5 
47,Benoni Defense:Benoni Gambit Accepted::,1.d4 c5 2.dxc5 
48,Benoni Defense:Benoni Gambit:Schlenker Defense:,1.d4 c5 2.dxc5 Na6
49,Benoni Defense:Benoni-Indian Defense::,1.d4 c5 2.d5 Nf6
50,Benoni Defense:Benoni-Indian Defense:Kingside move order:,1.d4 c5 2.d5 Nf6 3.Nf3 
51,Benoni Defense:Classical Variation:Argentine Counterattack:,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Be2 O-O 9.O-O a6 10.a4 Bg4
